architecture,code
"Give d2lang code for the given cloud architecture. This cloud architecture utilizes a load balancer (ELB) to distribute traffic across two web servers (EC2) running a web application.  The web servers access a relational database (RDS) for data persistence. A content delivery network (CDN) caches static content, reducing latency for users. The ELB distributes traffic to the web servers, while the web servers connect to the RDS for data access. The CDN serves static content directly to users, minimizing the need to access the web servers for these resources. This architecture ensures high availability, scalability, and improved performance for the application. 
","# instances
CDN: CDN\nContent Delivery Network\n
EC2-1: EC2-1\nWeb Server\n
EC2-2: EC2-2\nWeb Server\n
ELB: ELB\nLoad Balancer\n
RDS: RDS\nRelational Database\n
# connections
ELB->EC2-1
ELB->EC2-2
EC2-1->RDS
EC2-2->RDS
CDN->Users
"
"Give d2lang code for the given cloud architecture. This architecture utilizes an auto-scaling group (ASG) of EC2 instances (m5.large) running a web application. The ASG ensures high availability and scales automatically based on demand. The web instances connect to a load balancer (ALB) that distributes traffic evenly among them. The ALB also acts as a single point of entry for incoming requests, providing security and resilience. Data is stored in an Amazon RDS MySQL database instance (db.t3.medium), which is accessed by the web instances through a security group restricting access to authorized connections. The database instance also replicates to a read replica (db.t3.small) for read-only queries, improving performance. Logs are collected by CloudWatch Logs from the web instances and database, providing insights for monitoring and troubleshooting. 
","# instances
ALB: ALB\nload balancer\n
EC2-1: EC2-1\nweb instance\n
EC2-2: EC2-2\nweb instance\n
RDS-MySQL: RDS-MySQL\ndatabase instance\n
RDS-ReadReplica: RDS-ReadReplica\nread replica\n
# connections
EC2-1->ALB
EC2-2->ALB
ALB->EC2-1
ALB->EC2-2
EC2-1->RDS-MySQL
EC2-2->RDS-MySQL
EC2-1->RDS-ReadReplica
EC2-2->RDS-ReadReplica
"
"Give d2lang code for the given cloud architecture. This architecture centers around a web application hosted on an AWS Auto Scaling Group of 3 EC2 instances (t3.medium). Each instance runs an Nginx web server, serving traffic from a single Route 53 DNS entry. A Load Balancer (ALB) distributes traffic across the EC2 instances, ensuring high availability. User data is stored in an RDS instance (MySQL), with backups managed by S3. The application interacts with an SQS queue to handle asynchronous tasks, which are processed by a separate Lambda function. The Lambda function accesses data from DynamoDB, a NoSQL database optimized for fast lookups. This architecture leverages multiple services for scalability, reliability, and cost-efficiency, while maintaining a simple and adaptable structure. 
","# instances
ALB: ALB\nload balancer\n
EC2-1: EC2-1\nweb instance\n
EC2-2: EC2-2\nweb instance\n
RDS-MySQL: RDS-MySQL\ndatabase instance\n
RDS-ReadReplica: RDS-ReadReplica\nread replica\n
# connections
EC2-1->ALB
EC2-2->ALB
ALB->EC2-1
ALB->EC2-2
EC2-1->RDS-MySQL
EC2-2->RDS-MySQL
EC2-1->RDS-ReadReplica
EC2-2->RDS-ReadReplica
# instances
ALB: ALB\nApplication Load Balancer\n
DynamoDB: DynamoDB\nNoSQL database\n
EC2-1: EC2-1\nt3.medium web server\n
EC2-2: EC2-2\nt3.medium web server\n
EC2-3: EC2-3\nt3.medium web server\n
Lambda: Lambda\nAsynchronous task processor\n
RDS: RDS\nMySQL database\n
S3: S3\nBackup storage\n
SQS: SQS\nAsynchronous task queue\n
# connections
ALB->EC2-1
ALB->EC2-2
ALB->EC2-3
EC2-1->RDS
EC2-2->RDS
EC2-3->RDS
RDS->S3
EC2-1->SQS
EC2-2->SQS
EC2-3->SQS
SQS->Lambda
Lambda->DynamoDB
"
"Give d2lang code for the given cloud architecture. This architecture supports a web application serving dynamic content with database storage. It utilizes an Auto Scaling Group (ASG) of 3 EC2 instances (m5.large) as web servers, each running a load balancer (ELB). The ELB distributes incoming traffic across the web servers. The web servers connect to a single RDS instance (db.t3.medium) running MySQL for data persistence. Additionally, a S3 bucket stores static assets like images, served directly to users through CloudFront CDN. The ELB also routes requests for static assets to the CloudFront distribution. This architecture balances workload, ensures high availability, and optimizes content delivery. 
","# instances
ALB: ALB\nload balancer\n
EC2-1: EC2-1\nweb instance\n
EC2-2: EC2-2\nweb instance\n
RDS-MySQL: RDS-MySQL\ndatabase instance\n
RDS-ReadReplica: RDS-ReadReplica\nread replica\n
# connections
EC2-1->ALB
EC2-2->ALB
ALB->EC2-1
ALB->EC2-2
EC2-1->RDS-MySQL
EC2-2->RDS-MySQL
EC2-1->RDS-ReadReplica
EC2-2->RDS-ReadReplica
# instances
ALB: ALB\nApplication Load Balancer\n
DynamoDB: DynamoDB\nNoSQL database\n
EC2-1: EC2-1\nt3.medium web server\n
EC2-2: EC2-2\nt3.medium web server\n
EC2-3: EC2-3\nt3.medium web server\n
Lambda: Lambda\nAsynchronous task processor\n
RDS: RDS\nMySQL database\n
S3: S3\nBackup storage\n
SQS: SQS\nAsynchronous task queue\n
# connections
ALB->EC2-1
ALB->EC2-2
ALB->EC2-3
EC2-1->RDS
EC2-2->RDS
EC2-3->RDS
RDS->S3
EC2-1->SQS
EC2-2->SQS
EC2-3->SQS
SQS->Lambda
Lambda->DynamoDB
# instances
CloudFront: CloudFront\nCDN\n
EC2-1: EC2-1\nWeb Server (m5.large)\n
EC2-2: EC2-2\nWeb Server (m5.large)\n
EC2-3: EC2-3\nWeb Server (m5.large)\n
ELB: ELB\nLoad Balancer\n
RDS: RDS\nMySQL Database (db.t3.medium)\n
S3: S3\nStatic Asset Storage\n
# connections
ELB->EC2-1
ELB->EC2-2
ELB->EC2-3
EC2-1->RDS
EC2-2->RDS
EC2-3->RDS
ELB->CloudFront
CloudFront->S3
"
"Give d2lang code for the given cloud architecture. ## Secure E-commerce Platform on AWS

This architecture hosts an e-commerce platform leveraging AWS for scalability and security.  A load balancer (ALB) distributes traffic across two Auto Scaling Groups (ASG) of EC2 instances running the web application (Web-ASG).  Each ASG contains three t3.medium instances.  The web servers communicate with a relational database (RDS) hosted on an Aurora PostgreSQL cluster for data storage.  A separate ASG (Worker-ASG) with two t2.large instances handles background tasks like order processing and image optimization.  The Worker-ASG utilizes an SQS queue to receive messages from the Web-ASG. A S3 bucket stores static content such as images and CSS files, accessed via CloudFront for fast global delivery. Security is enforced by an AWS WAF in front of the ALB and IAM roles limit access to the database and SQS queue. This architecture offers high availability, scalability, and security for the e-commerce platform. 
","# instances
ALB: ALB\nload balancer\n
EC2-1: EC2-1\nweb instance\n
EC2-2: EC2-2\nweb instance\n
RDS-MySQL: RDS-MySQL\ndatabase instance\n
RDS-ReadReplica: RDS-ReadReplica\nread replica\n
# connections
EC2-1->ALB
EC2-2->ALB
ALB->EC2-1
ALB->EC2-2
EC2-1->RDS-MySQL
EC2-2->RDS-MySQL
EC2-1->RDS-ReadReplica
EC2-2->RDS-ReadReplica
# instances
ALB: ALB\nApplication Load Balancer\n
DynamoDB: DynamoDB\nNoSQL database\n
EC2-1: EC2-1\nt3.medium web server\n
EC2-2: EC2-2\nt3.medium web server\n
EC2-3: EC2-3\nt3.medium web server\n
Lambda: Lambda\nAsynchronous task processor\n
RDS: RDS\nMySQL database\n
S3: S3\nBackup storage\n
SQS: SQS\nAsynchronous task queue\n
# connections
ALB->EC2-1
ALB->EC2-2
ALB->EC2-3
EC2-1->RDS
EC2-2->RDS
EC2-3->RDS
RDS->S3
EC2-1->SQS
EC2-2->SQS
EC2-3->SQS
SQS->Lambda
Lambda->DynamoDB
# instances
CloudFront: CloudFront\nCDN\n
EC2-1: EC2-1\nWeb Server (m5.large)\n
EC2-2: EC2-2\nWeb Server (m5.large)\n
EC2-3: EC2-3\nWeb Server (m5.large)\n
ELB: ELB\nLoad Balancer\n
RDS: RDS\nMySQL Database (db.t3.medium)\n
S3: S3\nStatic Asset Storage\n
# connections
ELB->EC2-1
ELB->EC2-2
ELB->EC2-3
EC2-1->RDS
EC2-2->RDS
EC2-3->RDS
ELB->CloudFront
CloudFront->S3
# instances
ALB: ALB\nApplication Load Balancer\n
Aurora-Cluster: Aurora-Cluster\nAurora PostgreSQL database\n
CloudFront: CloudFront\nCloudFront distribution\n
S3: S3\nS3 bucket\n
SQS: SQS\nSQS queue\n
WAF: WAF\nAWS Web Application Firewall\n
Web-1: Web-1\nt3.medium web server\n
Web-2: Web-2\nt3.medium web server\n
Web-3: Web-3\nt3.medium web server\n
Web-4: Web-4\nt3.medium web server\n
Web-5: Web-5\nt3.medium web server\n
Web-6: Web-6\nt3.medium web server\n
Worker-1: Worker-1\nt2.large worker server\n
Worker-2: Worker-2\nt2.large worker server\n
# connections
ALB->Web-1
ALB->Web-2
ALB->Web-3
Web-1->Aurora-Cluster
Web-2->Aurora-Cluster
Web-3->Aurora-Cluster
Web-1->SQS
Web-2->SQS
Web-3->SQS
Worker-1->SQS
Worker-2->SQS
Web-1->S3
Web-2->S3
Web-3->S3
CloudFront->S3
WAF->ALB
"
"Give d2lang code for the given cloud architecture. This architecture utilizes a serverless approach for a dynamic web application. Users access the application through a **CloudFront** (CF) distribution, which directs traffic to an **S3** (S3) bucket hosting the static website content. User interactions trigger **API Gateway** (APIGW) endpoints, invoking **Lambda** (Lambda) functions. These functions interact with a **DynamoDB** (DDB) database for data persistence, utilizing **RDS** (RDS) for relational data storage if needed. User authentication is managed by **Cognito** (Cognito), while **Kinesis** (Kinesis) streams collect real-time user activity data for analytics. Security is ensured through **IAM** (IAM) roles and policies, and **CloudWatch** (CW) monitors application health and performance. This architecture scales seamlessly and leverages serverless components for cost-efficiency and reduced maintenance. 
","# instances
ALB: ALB\nload balancer\n
EC2-1: EC2-1\nweb instance\n
EC2-2: EC2-2\nweb instance\n
RDS-MySQL: RDS-MySQL\ndatabase instance\n
RDS-ReadReplica: RDS-ReadReplica\nread replica\n
# connections
EC2-1->ALB
EC2-2->ALB
ALB->EC2-1
ALB->EC2-2
EC2-1->RDS-MySQL
EC2-2->RDS-MySQL
EC2-1->RDS-ReadReplica
EC2-2->RDS-ReadReplica
# instances
ALB: ALB\nApplication Load Balancer\n
DynamoDB: DynamoDB\nNoSQL database\n
EC2-1: EC2-1\nt3.medium web server\n
EC2-2: EC2-2\nt3.medium web server\n
EC2-3: EC2-3\nt3.medium web server\n
Lambda: Lambda\nAsynchronous task processor\n
RDS: RDS\nMySQL database\n
S3: S3\nBackup storage\n
SQS: SQS\nAsynchronous task queue\n
# connections
ALB->EC2-1
ALB->EC2-2
ALB->EC2-3
EC2-1->RDS
EC2-2->RDS
EC2-3->RDS
RDS->S3
EC2-1->SQS
EC2-2->SQS
EC2-3->SQS
SQS->Lambda
Lambda->DynamoDB
# instances
CloudFront: CloudFront\nCDN\n
EC2-1: EC2-1\nWeb Server (m5.large)\n
EC2-2: EC2-2\nWeb Server (m5.large)\n
EC2-3: EC2-3\nWeb Server (m5.large)\n
ELB: ELB\nLoad Balancer\n
RDS: RDS\nMySQL Database (db.t3.medium)\n
S3: S3\nStatic Asset Storage\n
# connections
ELB->EC2-1
ELB->EC2-2
ELB->EC2-3
EC2-1->RDS
EC2-2->RDS
EC2-3->RDS
ELB->CloudFront
CloudFront->S3
# instances
ALB: ALB\nApplication Load Balancer\n
Aurora-Cluster: Aurora-Cluster\nAurora PostgreSQL database\n
CloudFront: CloudFront\nCloudFront distribution\n
S3: S3\nS3 bucket\n
SQS: SQS\nSQS queue\n
WAF: WAF\nAWS Web Application Firewall\n
Web-1: Web-1\nt3.medium web server\n
Web-2: Web-2\nt3.medium web server\n
Web-3: Web-3\nt3.medium web server\n
Web-4: Web-4\nt3.medium web server\n
Web-5: Web-5\nt3.medium web server\n
Web-6: Web-6\nt3.medium web server\n
Worker-1: Worker-1\nt2.large worker server\n
Worker-2: Worker-2\nt2.large worker server\n
# connections
ALB->Web-1
ALB->Web-2
ALB->Web-3
Web-1->Aurora-Cluster
Web-2->Aurora-Cluster
Web-3->Aurora-Cluster
Web-1->SQS
Web-2->SQS
Web-3->SQS
Worker-1->SQS
Worker-2->SQS
Web-1->S3
Web-2->S3
Web-3->S3
CloudFront->S3
WAF->ALB
# instances
APIGW: APIGW\nAPI Gateway\n
CloudFront: CloudFront\nCDN\n
CloudWatch: CloudWatch\nMonitoring & Logging\n
Cognito: Cognito\nUser Authentication\n
DynamoDB: DynamoDB\nNoSQL Database\n
IAM: IAM\nIdentity & Access Management\n
Kinesis: Kinesis\nReal-time Data Stream\n
Lambda: Lambda\nServerless Functions\n
RDS: RDS\nRelational Database\n
S3: S3\nStatic Content\n
# connections
CloudFront->S3
CloudFront->APIGW
APIGW->Lambda
Lambda->DynamoDB
Lambda->RDS
APIGW->Cognito
Lambda->Kinesis
Lambda->CloudWatch
Cognito->IAM
CloudWatch->IAM
"
"Give d2lang code for the given cloud architecture. This architecture utilizes an Auto Scaling Group (ASG) of 2 EC2 instances (m5.large) running a web server, each connected to an Application Load Balancer (ALB). The ALB distributes traffic across the web server instances, ensuring high availability and scalability. The web servers write data to a MySQL database hosted on a dedicated RDS instance (db.t3.medium). For logging and monitoring, CloudWatch is integrated with all resources, while S3 stores backups and logs. A Lambda function triggered by CloudWatch events handles automated scaling adjustments based on resource utilization. 
","# instances
ALB: ALB\nApplication Load Balancer\n
CloudWatch: CloudWatch\nmonitoring and logging\n
EC2-1: EC2-1\nm5.large web server\n
EC2-2: EC2-2\nm5.large web server\n
Lambda: Lambda\nautomated scaling function\n
RDS: RDS\ndb.t3.medium MySQL database\n
S3: S3\nbackup and log storage\n
# connections
EC2-1->ALB
EC2-2->ALB
ALB->EC2-1
ALB->EC2-2
EC2-1->RDS
EC2-2->RDS
EC2-1->CloudWatch
EC2-2->CloudWatch
ALB->CloudWatch
RDS->CloudWatch
EC2-1->S3
EC2-2->S3
RDS->S3
CloudWatch->Lambda
Lambda->ASG
"
"Give d2lang code for the given cloud architecture. ## Secure and Scalable E-commerce Platform on AWS

This architecture utilizes a secure and scalable approach for an e-commerce platform, leveraging the power of AWS services. It features an **EC2 (Elastic Compute Cloud)** instance with **2 x t3.xlarge** instances for the web application, load balanced by an **ELB (Elastic Load Balancer)**.  The **ELB** distributes traffic to the web servers, ensuring high availability and fault tolerance.  A **RDS (Relational Database Service)** instance, **1 x db.m5.large**, stores all the critical e-commerce data.  For data security and backups, the **RDS** instance is replicated to a **secondary instance** in a different Availability Zone. **S3 (Simple Storage Service)**, a **1 x standard** bucket, handles all static content like images and CSS files.  The web servers communicate with the **RDS** instance for dynamic data retrieval and updates, while **S3** provides the static content. Finally, **CloudFront** acts as a **CDN (Content Delivery Network)**, caching frequently accessed content at the edge for faster delivery to global users.  This architecture ensures high performance, scalability, and security for the e-commerce platform while leveraging the robust and cost-effective services provided by AWS. 
","# instances
ALB: ALB\nApplication Load Balancer\n
CloudWatch: CloudWatch\nmonitoring and logging\n
EC2-1: EC2-1\nm5.large web server\n
EC2-2: EC2-2\nm5.large web server\n
Lambda: Lambda\nautomated scaling function\n
RDS: RDS\ndb.t3.medium MySQL database\n
S3: S3\nbackup and log storage\n
# connections
EC2-1->ALB
EC2-2->ALB
ALB->EC2-1
ALB->EC2-2
EC2-1->RDS
EC2-2->RDS
EC2-1->CloudWatch
EC2-2->CloudWatch
ALB->CloudWatch
RDS->CloudWatch
EC2-1->S3
EC2-2->S3
RDS->S3
CloudWatch->Lambda
Lambda->ASG
# instances
CloudFront: CloudFront\nCDN\n
EC2-1: EC2-1\nt3.xlarge web server\n
EC2-2: EC2-2\nt3.xlarge web server\n
ELB: ELB\nElastic Load Balancer\n
RDS: RDS\ndb.m5.large database\n
RDS-Replica: RDS-Replica\ndb.m5.large database replica\n
S3: S3\nstandard storage\n
# connections
ELB->EC2-1
ELB->EC2-2
EC2-1->RDS
EC2-2->RDS
EC2-1->S3
EC2-2->S3
CloudFront->S3
RDS->RDS-Replica
"
"Give d2lang code for the given cloud architecture. ## E-commerce Platform on AWS

This architecture supports a high-traffic e-commerce website. It utilizes an Auto Scaling Group (ASG) of EC2 instances (m5.xlarge) running a load balancer (ALB) to distribute traffic. The ALB directs traffic to two ASGs, one for the web application (EC2 instances - t3.medium) and another for the database (RDS - MySQL). The web application ASG uses an S3 bucket for storing static content like images and scripts, enhancing performance and reducing load on the application servers. For secure logins, a Cognito User Pool manages user authentication and authorization. Finally, CloudWatch monitors all services, triggering alerts and automated scaling actions for optimal performance. This robust and scalable architecture ensures high availability and efficient handling of user traffic for a thriving online business.
","# instances
ALB: ALB\nApplication Load Balancer\n
CloudWatch: CloudWatch\nmonitoring and logging\n
EC2-1: EC2-1\nm5.large web server\n
EC2-2: EC2-2\nm5.large web server\n
Lambda: Lambda\nautomated scaling function\n
RDS: RDS\ndb.t3.medium MySQL database\n
S3: S3\nbackup and log storage\n
# connections
EC2-1->ALB
EC2-2->ALB
ALB->EC2-1
ALB->EC2-2
EC2-1->RDS
EC2-2->RDS
EC2-1->CloudWatch
EC2-2->CloudWatch
ALB->CloudWatch
RDS->CloudWatch
EC2-1->S3
EC2-2->S3
RDS->S3
CloudWatch->Lambda
Lambda->ASG
# instances
CloudFront: CloudFront\nCDN\n
EC2-1: EC2-1\nt3.xlarge web server\n
EC2-2: EC2-2\nt3.xlarge web server\n
ELB: ELB\nElastic Load Balancer\n
RDS: RDS\ndb.m5.large database\n
RDS-Replica: RDS-Replica\ndb.m5.large database replica\n
S3: S3\nstandard storage\n
# connections
ELB->EC2-1
ELB->EC2-2
EC2-1->RDS
EC2-2->RDS
EC2-1->S3
EC2-2->S3
CloudFront->S3
RDS->RDS-Replica
# instances
ALB: ALB\nApplication Load Balancer\n
Cognito: Cognito\nUser Pool\n
EC2-1: EC2-1\nm5.xlarge (Auto Scaling Group)\n
EC2-2: EC2-2\nm5.xlarge (Auto Scaling Group)\n
RDS: RDS\nMySQL Database\n
S3: S3\nStorage Bucket\n
Web-1: Web-1\nt3.medium (Auto Scaling Group)\n
Web-2: Web-2\nt3.medium (Auto Scaling Group)\n
# connections
ALB->EC2-1
ALB->EC2-2
EC2-1->Web-1
EC2-2->Web-2
Web-1->RDS
Web-2->RDS
Web-1->S3
Web-2->S3
ALB->Cognito
"
"Give d2lang code for the given cloud architecture. ## Secure E-commerce Platform on AWS

This architecture deploys a secure and scalable e-commerce platform on AWS.  

* **EC2 (2):** Two EC2 instances, one for the web application (EC2-Web) and one for the database (EC2-DB). EC2-Web runs the website, handling user requests and interactions with the database. EC2-DB hosts a relational database (RDS) storing customer information and product details.
* **RDS (1):** A single RDS instance, connected to EC2-DB, provides a managed relational database service.
* **ELB (1):** An Elastic Load Balancer (ELB) sits in front of EC2-Web, distributing traffic across multiple instances for increased availability and resilience.
* **S3 (1):** An S3 bucket stores static content like images and videos, accessed by EC2-Web.
* **CloudFront (1):** A CloudFront distribution, connected to S3, caches and delivers static content globally for fast loading times.
* **IAM (1):**  IAM manages user permissions and access controls across all resources.

This setup prioritizes security by keeping sensitive data within the secure confines of the VPC, while leveraging CloudFront for global reach and fast content delivery. The load balancer ensures high availability and scalability for the web application, while RDS provides a robust and reliable database service.
","# instances
ALB: ALB\nApplication Load Balancer\n
CloudWatch: CloudWatch\nmonitoring and logging\n
EC2-1: EC2-1\nm5.large web server\n
EC2-2: EC2-2\nm5.large web server\n
Lambda: Lambda\nautomated scaling function\n
RDS: RDS\ndb.t3.medium MySQL database\n
S3: S3\nbackup and log storage\n
# connections
EC2-1->ALB
EC2-2->ALB
ALB->EC2-1
ALB->EC2-2
EC2-1->RDS
EC2-2->RDS
EC2-1->CloudWatch
EC2-2->CloudWatch
ALB->CloudWatch
RDS->CloudWatch
EC2-1->S3
EC2-2->S3
RDS->S3
CloudWatch->Lambda
Lambda->ASG
# instances
CloudFront: CloudFront\nCDN\n
EC2-1: EC2-1\nt3.xlarge web server\n
EC2-2: EC2-2\nt3.xlarge web server\n
ELB: ELB\nElastic Load Balancer\n
RDS: RDS\ndb.m5.large database\n
RDS-Replica: RDS-Replica\ndb.m5.large database replica\n
S3: S3\nstandard storage\n
# connections
ELB->EC2-1
ELB->EC2-2
EC2-1->RDS
EC2-2->RDS
EC2-1->S3
EC2-2->S3
CloudFront->S3
RDS->RDS-Replica
# instances
ALB: ALB\nApplication Load Balancer\n
Cognito: Cognito\nUser Pool\n
EC2-1: EC2-1\nm5.xlarge (Auto Scaling Group)\n
EC2-2: EC2-2\nm5.xlarge (Auto Scaling Group)\n
RDS: RDS\nMySQL Database\n
S3: S3\nStorage Bucket\n
Web-1: Web-1\nt3.medium (Auto Scaling Group)\n
Web-2: Web-2\nt3.medium (Auto Scaling Group)\n
# connections
ALB->EC2-1
ALB->EC2-2
EC2-1->Web-1
EC2-2->Web-2
Web-1->RDS
Web-2->RDS
Web-1->S3
Web-2->S3
ALB->Cognito
# instances
CloudFront: CloudFront\ncontent delivery network\n
EC2-DB: EC2-DB\ndatabase instance\n
EC2-Web: EC2-Web\nweb application instance\n
ELB: ELB\nload balancer\n
RDS: RDS\nrelational database\n
S3: S3\nstorage bucket\n
# connections
EC2-Web->ELB
ELB->EC2-Web
EC2-Web->S3
EC2-Web->EC2-DB
EC2-DB->RDS
S3->CloudFront
"
